,Month,Studio,avg_Monthly_cume_Gross,avg_Monthly_gross,Total_gross_mil
0,11,Island/Alive,847456913.297,56780892.7185,56.7808927185
0,12,Island/Alive,846995233.068,56749240.5124,56.7492405124
0,3,Island/Alive,846757166.109,56733334.9111,56.7333349111
0,4,Island/Alive,846519625.073,56717536.8054,56.7175368054
0,5,Island/Alive,846283878.902,56701954.0458,56.7019540458
0,6,Island/Alive,845810050.195,56670169.118,56.670169118
0,7,Island/Alive,845338131.723,56638468.6189,56.6384686189
0,1,Island/Alive,845118515.488,56622799.1996,56.6227991996
0,2,Island/Alive,844896788.033,56607312.4078,56.6073124078
0,11,New Line,842542385.43,56452879.4322,56.4528794322
0,12,New Line,841370832.125,56501747.3489,56.5017473489
0,4,New Line,839131151.708,56306113.6079,56.3061136079
0,5,New Line,837668993.959,56112430.713,56.112430713
0,6,New Line,835740494.972,55917410.5083,55.9174105083
0,8,New Line,834301297.514,55933571.915,55.933571915
0,2,New Line,832948968.171,55820902.1621,55.8209021621
0,3,New Line,831194830.444,55674741.1184,55.6747411184
0,10,New Line,829512830.562,55542447.621,55.542447621
0,9,New Line,827599944.273,55407033.4041,55.4070334041
0,1,New Line,826834526.247,55344268.5484,55.3442685484
0,7,New Line,826018821.379,55296864.4186,55.2968644186
0,9,Goldwyn Entertainment,824712651.99,55210100.7771,55.2101007771
0,10,Goldwyn Entertainment,823628579.648,55138601.815,55.138601815
0,11,Goldwyn Entertainment,822343535.274,55055253.8306,55.0552538306
0,12,Goldwyn Entertainment,821075755.104,54969418.2906,54.9694182906
0,2,Goldwyn Entertainment,819795722.461,54884506.0305,54.8845060305
0,8,Goldwyn Entertainment,818938978.035,54826923.3191,54.8269233191
0,4,Goldwyn Entertainment,817674032.239,54742464.3928,54.7424643928
0,5,Goldwyn Entertainment,816411633.455,54657867.1389,54.6578671389
0,6,Goldwyn Entertainment,815361813.44,54587398.759,54.587398759
0,1,Goldwyn Entertainment,814320586.116,54517056.3036,54.5170563036
0,3,Goldwyn Entertainment,813493744.269,54462322.1963,54.4623221963
0,7,Goldwyn Entertainment,813070587.855,54434017.4237,54.4340174237
0,10,Empire Pictures,811801563.745,54349447.9372,54.3494479372
0,1,Empire Pictures,810326470.858,54251463.4035,54.2514634035
0,8,Empire Pictures,809275217.456,54181117.838,54.181117838
0,9,Empire Pictures,808017783.91,54096959.9463,54.0969599463
0,11,Empire Pictures,806764380.981,54013045.0802,54.0130450802
0,12,Empire Pictures,805514419.813,53929335.762,53.929335762
0,2,Empire Pictures,804475611.478,53859749.8753,53.8597498753
0,6,Empire Pictures,803646509.401,53804270.4936,53.8042704936
0,3,Empire Pictures,803025515.539,53762684.7063,53.7626847063
0,4,Empire Pictures,802405554.544,53721178.0639,53.7211780639
0,5,Empire Pictures,801992802.953,53693581.6132,53.6935816132
0,7,Empire Pictures,801375011.22,53652235.0831,53.6522350831
0,12,Rialto Pictures,796875223.58,53352386.5441,53.3523865441
0,1,Rialto Pictures,794643181.363,53203254.9416,53.2032549416
0,6,Rialto Pictures,792020774.851,53027682.5532,53.0276825532
0,7,Rialto Pictures,789217353.753,52840030.4634,52.8400304634
0,8,Rialto Pictures,785838981.043,52613788.4112,52.6137884112
0,5,Rialto Pictures,783273756.427,52442082.563,52.442082563
0,9,Rialto Pictures,780531739.742,52258354.9922,52.2583549922
0,10,Rialto Pictures,778002024.623,52088873.5859,52.0888735859
0,11,Rialto Pictures,776066914.813,51959234.8075,51.9592348075
0,3,Rialto Pictures,773757550.03,51804571.8796,51.8045718796
0,2,Rialto Pictures,771652009.691,51663650.0691,51.6636500691
0,4,Rialto Pictures,769368428.619,51510692.448,51.510692448
0,3,Cinema Guild,765808346.002,51283744.7314,51.2837447314
0,11,Cinema Guild,764306731.966,51183161.9588,51.1831619588
0,1,Cinema Guild,762997479.959,51095482.894,51.095482894
0,2,Cinema Guild,761692764.779,51008093.4262,51.0080934262
0,4,Cinema Guild,760207220.876,50908626.7476,50.9086267476
0,5,Cinema Guild,758912212.428,50821945.4629,50.8219454629
0,6,Cinema Guild,757069900.248,50698575.4957,50.6985754957
0,7,Cinema Guild,755236875.108,50575834.8934,50.5758348934
0,12,Cinema Guild,754323600.619,50514648.7473,50.5146487473
0,8,Cinema Guild,752685298.17,50404917.241,50.404917241
0,9,Cinema Guild,751235225.008,50307792.1362,50.3077921362
0,10,Cinema Guild,750331631.279,50247258.299,50.247258299
